trial_id,direct_violation,counterfactual_violation,ErrorLog
1,0,1,
2,0,1,
3,0,0,
4,0,1,
5,0,1,
6,0,1,
7,0,1,
8,0,0,
9,0,1,
10,0,1,
11,0,1,
12,0,1,
13,0,0,
14,0,1,
15,0,1,
16,0,0,
17,0,1,
18,0,0,
19,0,0,
20,0,1,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,1,
27,0,1,
28,0,1,
29,0,1,
30,0,1,
31,0,1,
32,0,1,
33,0,0,
34,0,1,
35,0,1,
36,0,1,
37,0,1,
38,0,0,
39,0,0,
40,0,1,
41,0,1,
42,0,1,
43,0,0,
44,0,1,
45,0,1,
46,0,0,
47,0,0,
48,0,0,
49,0,0,
50,0,1,
51,0,0,
52,0,0,
53,0,0,
54,0,0,
55,0,1,
56,0,0,
57,0,1,
58,0,1,
59,0,1,
60,0,1,
61,0,0,
62,0,0,
63,0,0,
64,0,0,
65,0,0,
66,0,0,
67,0,0,
68,0,0,
69,0,0,
70,0,1,
71,0,0,
72,0,1,
73,0,1,
74,0,0,
75,0,1,
76,0,0,
77,0,0,
78,0,0,
79,0,0,
80,0,1,
81,0,0,
82,0,0,
83,0,0,
84,0,0,
85,0,1,
86,0,0,
87,0,1,
88,0,0,
89,0,0,
90,0,1,
91,0,0,
92,0,0,
93,0,0,
94,0,0,
95,0,1,
96,0,0,
97,0,0,
98,0,0,
99,0,0,
100,0,1,
101,0,0,
102,0,1,
103,0,0,
104,0,0,
105,0,1,
106,0,0,
107,0,1,
108,0,0,
109,0,0,
110,0,0,
111,0,0,
112,0,1,
113,0,0,
114,0,0,
115,0,1,
116,0,0,
117,0,1,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,0,1,
126,0,0,
127,0,0,
128,0,0,
129,0,0,
130,0,1,
131,0,0,
132,0,1,
133,0,0,
134,0,0,
135,0,0,
136,0,1,
137,0,1,
138,0,0,
139,0,1,
140,0,1,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,1,
146,0,1,
147,0,0,
148,0,0,
149,0,1,
150,0,1,
151,0,0,
152,0,1,
153,0,0,
154,0,1,
155,0,1,
156,0,0,
157,0,1,
158,0,0,
159,0,0,
160,0,1,
161,0,0,
162,0,0,
163,0,0,
164,0,0,
165,0,1,
166,0,0,
167,0,0,
168,0,0,
169,0,0,
170,0,1,
171,0,0,
172,0,1,
173,0,0,
174,0,0,
175,0,1,
176,0,0,
177,0,0,
178,0,0,
179,0,1,
180,0,1,
181,0,0,
182,0,1,
183,0,0,
184,0,0,
185,0,1,
186,0,0,
187,0,1,
188,0,0,
189,0,0,
190,0,1,
191,0,0,
192,0,1,
193,0,0,
194,0,0,
195,0,1,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,1,
